_step,_runtime,_timestamp,epoch,train/loss,train/mf_loss,train/reg_loss,test/recall@1,test/recall@5,test/recall@10,test/recall@20,test/recall@50,test/precision@1,test/precision@5,test/precision@10,test/precision@20,test/precision@50,test/ndcg@1,test/ndcg@5,test/ndcg@10,test/ndcg@20,test/ndcg@50,test/map@1,test/map@5,test/map@10,test/map@20,test/map@50,test/mrr@1,test/mrr@5,test/mrr@10,test/mrr@20,test/mrr@50,test/hit_ratio@1,test/hit_ratio@5,test/hit_ratio@10,test/hit_ratio@20,test/hit_ratio@50
117,66.831524152,1778815891.4259298,113,0.16744284331798553,0.1672322154045105,0.00021063130407128483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,66.906948841,1778815891.501386,114,0.1655285805463791,0.16531527042388916,0.00021330371964722872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,66.984704475,1778815891.5792818,115,0.1614590436220169,0.16124320030212402,0.00021584084606729448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,67.05895736,1778815891.6536355,116,0.16062816977500916,0.16040965914726257,0.00021850585471838713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,67.13557816,1778815891.7300475,117,0.15782268345355988,0.15760228037834167,0.0002204093470936641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,67.209449777,1778815891.8040838,118,0.15732456743717194,0.15710186958312988,0.00022269610781222582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,67.292622981,1778815891.8872552,119,0.1567826271057129,0.15655717253684998,0.00022544806415680796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,67.372671303,1778815891.9671962,120,0.15319794416427612,0.15297043323516846,0.00022750909556634724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,77.417187344,1778815902.0106168,120,,,,0.005023106001317501,0.01318429410457611,0.02427598461508751,0.042063482105731964,0.08467479050159454,0.010849909856915474,0.008318264037370682,0.008318260312080383,0.007142852991819382,0.005858947057276964,0.010849909856915474,0.013048154301941395,0.01734098792076111,0.023367226123809814,0.0353238619863987,0.005023106001317501,0.00784459337592125,0.009183673188090324,0.010532534681260586,0.012096991762518883,0.010849909856915474,0.021127184852957726,0.026242142543196678,0.030279310420155525,0.03493969887495041,0.010849909856915474,0.04159132018685341,0.08318264037370682,0.1428571492433548,0.29294756054878235
126,84.609096942,1778815909.2035372,121,0.14700698852539062,0.14677727222442627,0.00022972228180151433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,84.681996289,1778815909.2764494,122,0.14160896837711334,0.14137676358222961,0.0002322066284250468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,84.76244066,1778815909.3568652,123,0.14269377291202545,0.14245888590812683,0.00023489102022722363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,84.835708893,1778815909.43033,124,0.14175564050674438,0.14151906967163086,0.00023657655401621014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,84.911679807,1778815909.5062897,125,0.13923557102680206,0.13899676501750946,0.000238812921452336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,84.985946196,1778815909.5805335,126,0.13795705139636993,0.13771533966064453,0.0002417164942016825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,85.068115196,1778815909.6626093,127,0.13442391157150269,0.13418039679527283,0.00024351372849196196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,85.149124509,1778815909.7436469,128,0.12986497581005096,0.12961918115615845,0.0002457976224832237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
